Uniprot Accession	Gene	Description	Peptides used for quantitation	Confidence score	Molecular weight (Da)	LB
P0AD61	pykF	Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1	36	2143.91	50679.24536	10333
P09546	putA	Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3	36	2535.67	143707.3978	1513
P0AC33	fumA	Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2	36	2533.65	60242.56175	6237
P0A6P1	tsf	Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2	35	2366.23	30385.76806	44439
P08839	ptsI	Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1	35	2206.55	63503.89517	5193
P0A6Z3	htpG	Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1	35	1847.19	71360.33894	8121
P0A6E4	argG	Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2	35	2674.37	49848.81733	1035
P21179	katE	Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1	35	2211.86	84092.42396	761
P0A6F3	glpK	Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2	35	2432.72	56177.25025	13194
P0A850	tig	Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1	34	2152.85	48144.85133	56164
P0A6T1	pgi	Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1	34	2068.73	61472.99513	5809
P05055	pnp	Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3	34	2010.85	77034.97797	6269
P0A9M8	pta	Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2	34	2290.93	77105.88254	2679
P0A940	bamA	Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1	34	2111.5	90478.46722	3023
P0AC41	sdhA	Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1	34	2804.82	64363.08691	8367
P27550	acs	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	33	1996.87	72030.23532	2346
P23538	ppsA	Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5	33	1820.57	87361.60027	2394
P04079	guaA	GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1	33	2391.7	58623.86483	3818
P0A9M0	lon	Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1	33	2210.84	87364.80487	3411
P22523	mukB	Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2	33	2059.61	170107.5558	463
P0A799	pgk	Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2	32	2518.51	41074.62371	57863
P23843	oppA	Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2	32	1916.49	60842.91364	6684
P0A825	glyA	Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1	32	2089.47	45269.96251	10374
P08997	aceB	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	32	2238.64	60217.52759	2422
P21513	rne	Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6	32	2572.23	118106.8771	1624
P0A9W3	yjjK	Uncharacterized ABC transporter ATP-binding protein YjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2	32	2281.37	62386.25685	4583
P0A9A6	ftsZ	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	32	2379.17	40280.55906	7898
P0AES6	gyrB	DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2	32	2076.1	89875.87852	1700
P0A8M3	thrS	Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1	32	1942.28	73948.79422	1935
P00370	gdhA	NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1	32	1927.2	48532.35541	1137
P33602	nuoG	NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4	32	2198.98	100217.9683	3781
P0A9B2	gapA	Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2	31	1793.43	35492.2309	48645
P15639	purH	Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1	31	1871.94	57274.98651	891
P25516	acnA	Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	31	2147.6	97597.74141	975
P00582	polA	DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1	31	2183.47	103035.5166	912
P0A853	tnaA	Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1	31	1872.16	52721.57894	44379
P33599	nuoC	NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3	31	1769.66	68174.53178	3225
P17846	cysI	Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4	31	1902.4	63939.93503	620
P0ABH7	gltA	Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1	30	2043.46	47965.89357	16361
P0A9C5	glnA	Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2	30	1686.3	51852.71686	7286
P37685	aldB	Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	30	1607.71	56252.47906	729
P09151	leuA	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	30	2302.65	57244.09138	885
P37330	glcB	Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3	30	1775.61	80419.85713	632
P06149	dld	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3	30	1565.74	64553.60212	449
P0A910	ompA	Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1	29	2046.35	37159.64679	146530
P0ABB0	atpA	ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1	29	2800.06	55169.73662	23968
P60422	rplB	50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2	29	1979.3	29824.00117	39858
P16659	proS	Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4	29	2204.63	63634.68294	6443
P17169	glmS	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4	29	2457.09	66834.61906	5271
P0A6B7	iscS	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1	29	2188.87	45042.91969	12757
P27298	prlC	Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3	29	1525.67	77100.625	2706
P00452	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2	29	1369.24	82789.58209	1236
P35340	ahpF	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	29	1822.39	56124.08085	5161
P13035	glpD	Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3	29	1604.83	56697.06997	3852
P0ADG7	guaB	Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1	28	2370.1	51972.01166	5909
P0AG30	rho	Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1	28	2097.93	46956.59013	5934
P0AAI3	ftsH	ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1	28	1906.04	70645.4092	3956
P0A817	metK	S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2	28	1718.3	41907.1862	7068
P38038	cysJ	Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4	28	2175.11	66210.86614	733
P61889	mdh	Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1	27	2213	32299.20422	73162
P0AD96	livJ	Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1	27	1996.57	39033.9819	1898
P00350	gnd	6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2	27	1940.13	51431.30094	17386
P0A7Z4	rpoA	DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1	27	1907.81	36471.13747	35102
P0AFF6	nusA	Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1	27	1899.01	54819.06259	10025
Q59385	copA	Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4	27	1782.14	87799.79865	632
P0AEE5	mglB	D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1	27	1604.39	35672.35627	20143
P0A8N3	lysS	Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2	27	2561.23	57549.12811	4837
P00959	metG	Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2	27	1588.88	76188.10041	2572
P13009	metH	Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5	27	1587.38	135893.6125	270
P0ABK5	cysK	Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	26	2393.1	34450.28634	21811
P0AB71	fbaA	Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2	26	1659.08	39104.59675	23422
P77804	ydgA	Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1	26	1469.59	54636.91746	2257
P32132	typA	GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2	26	1734.85	67295.47014	4316
P06971	fhuA	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	26	1525.73	82113.29387	550
P0ADY1	ppiD	Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1	26	1563.05	68089.75025	1678
P30850	rnb	Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3	26	1290.68	72427.22502	1224
P00962	glnS	Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3	26	1487.34	63419.78257	1712
P0A9P0	lpdA	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	25	1872.62	50638.58341	30101
P0A870	talB	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	25	1950.25	35179.30906	15811
P00934	thrC	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	25	1740.99	47066.2141	3501
P0ACY3	yeaG	Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1	25	1326.76	74415.57277	472
P36938	pgm	Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1	25	1772.14	58306.46912	2354
P68767	pepA	Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1	25	1456.6	54826.96661	1675
P21177	fadB	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2	25	1449.92	79525.42988	547
P23865	prc	Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2	25	1202.44	76597.69941	621
P23845	cysN	Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1	25	1650.37	52508.01953	374
P0A786	pyrB	Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2	24	1431.12	34387.75071	908
P75691	yahK	Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1	24	1682.03	37935.87879	877
P0A8M0	asnS	Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2	24	1660.49	52519.41644	5818
P0A8L1	serS	Seryl-tRNA synthetase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1	24	1656.07	48365.52218	5806
P0AEX9	malE	Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1	24	1530.97	43342.36867	8460
P05791	ilvD	Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) GN=ilvD PE=1 SV=5	24	1475.31	65471.83229	495
P0ABZ6	surA	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	24	1270.98	47236.24996	2548
P21499	rnr	Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2	24	1333.47	92033.50406	439
P77748	ydiJ	Uncharacterized protein ydiJ OS=Escherichia coli (strain K12) GN=ydiJ PE=4 SV=1	24	1182.07	113157.9224	125
P0A7V0	rpsB	30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2	23	1290.05	26708.79452	71379
P17315	cirA	Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2	23	1760.5	73832.34947	272
P00509	aspC	Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1	23	1641.47	43527.99762	4145
P0AGE9	sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) GN=sucD PE=1 SV=2	23	1502.7	29740.52945	19013
P0A836	sucC	Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) GN=sucC PE=1 SV=1	23	1617.83	41348.64135	15855
P05020	pyrC	Dihydroorotase OS=Escherichia coli (strain K12) GN=pyrC PE=1 SV=2	23	1515.82	38784.58103	1030
P69786	ptsG	PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) GN=ptsG PE=1 SV=1	23	1237.08	50625.74752	1617
P04805	gltX	Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1	23	1464.42	53763.78958	4337
P0C0V0	degP	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	23	1640.41	49305.44896	2586
P11447	argH	Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3	23	1699.87	50268.64352	808
P31554	lptD	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	23	1380.25	89597.20601	915
P0C8J6	gatY	D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1	23	1240.46	30774.55511	11402
P06612	topA	DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2	23	1185.9	97270.30707	890
P22106	asnB	Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3	23	1724.71	62601.08381	828
P11875	argS	Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1	23	1294.61	64623.81965	1457
P0ABH9	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) GN=clpA PE=1 SV=1	23	1518.37	84136.91889	1474
P33363	bglX	Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2	23	1148.94	83389.45193	324
P0A953	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1	22	1881.89	42568.05338	23274
P0A7D4	purA	Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2	22	1544.12	47297.28625	13171
P08312	pheS	Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2	22	1689.92	36790.65689	6584
P0A6H1	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2	22	1319.8	46309.17173	5494
P37689	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1	22	1532.01	56140.28406	2064
P0A6H5	hslU	ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) GN=hslU PE=1 SV=1	22	1236.1	49544.84377	4825
P24182	accC	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	22	1191.11	49271.30273	5352
Q47146	fadE	Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2	22	1395.13	89149.78105	189
P0A7E5	pyrG	CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2	22	1209.43	60318.05938	1991
P07014	sdhB	Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1	22	1206.05	26734.23452	9036
P00895	trpE	Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2	22	1161.99	57440.09143	269
P0C8J8	gatZ	D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1	22	1516.04	47060.76941	12320
P26616	maeA	NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeA PE=1 SV=4	22	1291.18	63139.24904	1348
P30958	mfd	Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2	22	1202.99	129883.2773	130
P08142	ilvB	Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1	22	1367.73	60383.77314	2174
P09832	gltD	Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3	22	1254.84	51964.01557	323
P0AEM9	fliY	Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1	21	1343.12	29003.20238	3133
P23721	serC	Phosphoserine aminotransferase OS=Escherichia coli (strain K12) GN=serC PE=1 SV=4	21	1252.06	39739.97191	3178
P02930	tolC	Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3	21	1721.5	53690.18447	6584
P0AFG6	sucB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) GN=sucB PE=1 SV=2	21	1441.27	43965.9951	15565
P62399	rplE	50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2	21	1537.62	20270.69129	69275
P0A867	talA	Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1	21	1563.1	35618.46965	953
P22259	pckA	Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2	21	1651.23	59587.99575	9848
P0AC53	zwf	Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1	21	1176.15	55651.32689	1508
P0ABD5	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	21	1388.86	35201.29042	7972
P08660	lysC	Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2	21	1470.14	48483.43931	383
P0ABC7	hflK	Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1	21	1460.75	45499.07951	2346
P05459	pdxB	Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2	21	1159.7	41323.77299	801
P0A7A7	plsB	Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2	21	1093.16	91305.48655	370
P38054	cusA	Cation efflux system protein CusA OS=Escherichia coli (strain K12) GN=cusA PE=1 SV=2	21	1287.43	114616.0284	204
P00944	xylA	Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1	21	1227.4	49692.50395	556
P07023	tyrA	T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1	21	1161.21	41997.8894	501
P0A6P9	eno	Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2	20	1590.44	45608.41069	40037
P09169	ompT	Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1	20	1635.49	35522.27435	7843
P09551	argT	Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3	20	1428.72	27956.24088	4553
P05825	fepA	Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2	20	1254.96	82038.47549	222
P75780	fiu	Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1	20	1242.23	81891.90875	377
P18843	nadE	NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) GN=nadE PE=1 SV=2	20	1181.19	30599.77658	2222
P27302	tktA	Transketolase 1 OS=Escherichia coli (strain K12) GN=tktA PE=1 SV=5	20	1584.03	72147.91979	7519
P37095	pepB	Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2	20	1453.69	46133.26021	3891
P0ABP8	deoD	Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain K12) GN=deoD PE=1 SV=2	20	1278.35	25915.01852	18649
Q46856	yqhD	Alcohol dehydrogenase YqhD OS=Escherichia coli (strain K12) GN=yqhD PE=1 SV=1	20	1170.24	42052.78947	5796
P0ADE8	ygfZ	tRNA-modifying protein ygfZ OS=Escherichia coli (strain K12) GN=ygfZ PE=1 SV=2	20	1097.04	36053.36943	2457
